Transaction_ID,Customer_Name,Date,Amount,Currency,Merchant,Category,Payment_Method,Status,Country
T100000,Ivan,2023-09-25,1566.24,EUR,Amazon,Travel,Bank Transfer,Pending,Uk
T100001,Eve,2023-09-24,1939.21,GBP,Zomato,Transport,Debit Card,Completed,Usa
T100002,David,2024-05-18,1522.24,USD,Amazon,Travel,Debit Card,Completed,Australia
T100003,Frank,2024-06-13,1589.45,EUR,Apple,Utilities,Upi,Cancelled,Germany
T100004,Frank,2024-06-15,1903.55,INR,Zomato,Travel,Upi,Failed,Germany
T100005,Eve,2023-12-31,1146.47,EUR,Paytm,Entertainment,Upi,Failed,Japan
T100006,Judy,2023-04-22,1741.27,INR,Amazon,Travel,Cash,Pending,Australia
T100007,Judy,2023-10-04,1846.16,GBP,Amazon,Travel,Cash,Completed,Canada
T100008,Judy,2023-10-24,40.87,,Flipkart,Travel,Bank Transfer,Failed,Germany
T100009,Judy,2024-02-06,264.59,,Apple,Travel,Bank Transfer,Completed,France
T100010,Eve,2024-03-03,920.05,EUR,Apple,Travel,Cash,Failed,Uk
T100011,Heidi,2024-05-12,1377.16,EUR,Uber,Transport,Wallet,Pending,Canada
T100012,Heidi,2024-04-29,378.79,,Zomato,Bills,Upi,Failed,Canada
T100013,Frank,2023-12-19,1337.83,INR,Apple,Shopping,Upi,Completed,Australia
T100014,David,2023-07-24,1376.36,INR,Starbucks,Groceries,Wallet,Cancelled,India
,Nan,,,,Nan,Nan,Nan,Nan,Nan
T100016,Judy,2023-11-21,296.51,USD,Walmart,Travel,Bank Transfer,Pending,Germany
T100017,Eve,2024-07-09,450.03,INR,Google,Travel,Bank Transfer,Cancelled,Canada
T100018,Heidi,2023-06-12,311.09,INR,Uber,Food,Cash,Cancelled,Germany
T100019,Frank,2024-05-21,403.64,,Walmart,Utilities,Bank Transfer,Pending,India
T100020,Charlie,2024-03-06,540.43,,Flipkart,Insurance,Wallet,Success,France
T100021,Ivan,2024-02-03,764.62,USD,Uber,Insurance,Debit Card,Pending,Usa
T100022,Judy,2024-08-06,1339.19,INR,Zomato,Bills,Upi,Pending,Germany
T100023,Judy,2024-04-15,1898.94,GBP,Zomato,Transport,Credit Card,Cancelled,Canada
T100024,Judy,2024-04-29,351.19,USD,Walmart,Shopping,Cash,Failed,Australia
T100025,Heidi,2023-07-05,851.08,,Paytm,Transport,Cash,Cancelled,Germany
T100026,Frank,2024-02-14,27.31,USD,Walmart,Food,Cash,Completed,Australia
T100027,Ivan,2023-07-11,994.81,USD,Paytm,Bills,Upi,Completed,Usa
T100028,Judy,2023-05-19,812.45,EUR,Apple,Transport,Bank Transfer,Cancelled,India
T100029,Alice,2023-08-17,585.06,,Google,Transport,Upi,Success,India
T100031,Frank,2023-12-23,1631.34,INR,Zomato,Utilities,Upi,Completed,Germany
T100032,Alice,2023-03-19,1197.59,INR,Netflix,Groceries,Bank Transfer,Failed,Australia
T100033,Charlie,2023-11-12,1796.75,INR,Flipkart,Food,Wallet,Failed,Usa
T100034,Frank,2023-07-12,78.56,EUR,Netflix,Transport,Debit Card,Failed,Australia
T100035,Eve,2023-09-03,432.67,INR,Starbucks,Groceries,Credit Card,Completed,Australia
T100036,David,2023-06-02,695.23,GBP,Amazon,Groceries,Credit Card,Completed,India
T100037,David,2024-07-11,195.15,,Zomato,Bills,Credit Card,Failed,Germany
T100038,Bob,2023-12-27,173.41,,Paytm,Shopping,Debit Card,Failed,France
T100039,Charlie,2024-08-21,1253.19,,Netflix,Food,Upi,Pending,Germany
T100040,Ivan,2024-01-23,888.75,EUR,Amazon,Insurance,Debit Card,Cancelled,Germany
